Year,Month,n
2021,01,1207
2021,02,1281
2021,03,1613
2021,04,1098
2021,05,557
2020,01,862
2020,02,425
2020,03,471
2020,04,723
2020,05,1293
2020,06,849
2020,07,1372
2020,08,962
2020,09,680
2020,10,413
2020,11,663
2020,12,889
2021,01,7
2019,01,1
2019,02,1
2019,07,1
2019,08,503
2019,09,321
2019,10,284
2019,11,482
2019,12,634
2020,01,3
2016,04,64
2016,05,128
2016,06,85
2016,07,47
2016,08,33
2016,09,23
2016,10,4
2014,03,2
2014,04,34
2014,05,175
2014,06,102
2014,07,173
2014,08,46
2014,09,30
2014,10,28
2012,01,92
2012,02,95
2012,03,34
2012,09,2
2011,02,13
2011,03,19
2011,05,18
2011,06,33
2011,07,40
2011,08,78
2011,09,154
2011,10,115
2011,12,15
